time	V(n003)	I(L1)	I(L2)
0.000000000000000e+000	-6.703683e+001	-1.227033e+001	5.000000e+002
5.714285699858532e-007	-6.696146e+001	-1.226968e+001	4.995735e+002
1.142857139971706e-006	-6.688637e+001	-1.226824e+001	4.991472e+002
1.714285709957560e-006	-6.681155e+001	-1.226600e+001	4.987211e+002
2.285714279943413e-006	-6.673701e+001	-1.226297e+001	4.982951e+002
2.857142849929266e-006	-6.666275e+001	-1.225915e+001	4.978692e+002
3.428571419915119e-006	-6.658876e+001	-1.225453e+001	4.974436e+002
3.999999989900971e-006	-6.651505e+001	-1.224912e+001	4.970180e+002
7.999999979801942e-006	-6.600140e+001	-1.220590e+001	4.940430e+002
8.999999977277184e-006	-6.587419e+001	-1.219225e+001	4.933010e+002
1.099999997222767e-005	-6.562219e+001	-1.215993e+001	4.918218e+002
1.499999996212864e-005	-6.512344e+001	-1.208773e+001	4.888795e+002
2.299999994193058e-005	-6.413673e+001	-1.193039e+001	4.830331e+002
2.499999993688107e-005	-6.389278e+001	-1.188884e+001	4.815829e+002
2.899999992678204e-005	-6.341062e+001	-1.180295e+001	4.787102e+002
3.899999990153447e-005	-6.221704e+001	-1.158666e+001	4.715921e+002
4.957142844627275e-005	-6.098331e+001	-1.135812e+001	4.642258e+002
6.014285699101103e-005	-5.977287e+001	-1.113370e+001	4.569982e+002
7.071428553574932e-005	-5.858570e+001	-1.091342e+001	4.499092e+002
8.128571408048760e-005	-5.742180e+001	-1.069727e+001	4.429589e+002
9.185714262522589e-005	-5.628119e+001	-1.048525e+001	4.361472e+002
1.024285711699642e-004	-5.516385e+001	-1.027735e+001	4.294742e+002
1.129999997147024e-004	-5.406979e+001	-1.007359e+001	4.229399e+002
1.581428567435848e-004	-4.969297e+001	-9.259556e+000	3.968012e+002
2.032857137724672e-004	-4.561255e+001	-8.500644e+000	3.724326e+002
2.484285708013496e-004	-4.182852e+001	-7.796858e+000	3.498340e+002
2.935714278302320e-004	-3.834088e+001	-7.148197e+000	3.290056e+002
3.387142848591144e-004	-3.514964e+001	-6.554662e+000	3.099472e+002
3.838571418879968e-004	-3.225479e+001	-6.016252e+000	2.926589e+002
4.289999989168791e-004	-2.965633e+001	-5.532968e+000	2.771406e+002
4.752857130857332e-004	-2.718962e+001	-5.074188e+000	2.624092e+002
5.215714272545874e-004	-2.489342e+001	-4.647121e+000	2.486961e+002
5.678571414234415e-004	-2.276773e+001	-4.251767e+000	2.360013e+002
6.141428555922956e-004	-2.081256e+001	-3.888127e+000	2.243249e+002
6.604285697611497e-004	-1.902790e+001	-3.556201e+000	2.136667e+002
7.067142839300038e-004	-1.741375e+001	-3.255988e+000	2.040269e+002
7.529999980988578e-004	-1.597011e+001	-2.987488e+000	1.954054e+002
8.089999979574714e-004	-1.434171e+001	-2.684622e+000	1.856804e+002
8.649999978160849e-004	-1.287659e+001	-2.412127e+000	1.769306e+002
9.209999976746985e-004	-1.155839e+001	-2.166956e+000	1.690582e+002
9.769999975333121e-004	-1.037237e+001	-1.946371e+000	1.619752e+002
1.032999997391926e-003	-9.305285e+000	-1.747905e+000	1.556024e+002
1.088999997250539e-003	-8.345204e+000	-1.569341e+000	1.498688e+002
1.184999997008163e-003	-6.918425e+000	-1.303976e+000	1.413479e+002
1.221621090758163e-003	-6.441165e+000	-1.215211e+000	1.384977e+002
1.282656247008163e-003	-5.706593e+000	-1.078589e+000	1.341107e+002
1.307070309508162e-003	-5.442225e+000	-1.029420e+000	1.325319e+002
1.355898434508162e-003	-4.954590e+000	-9.387252e-001	1.296197e+002
1.453554684508163e-003	-4.091969e+000	-7.782875e-001	1.244681e+002
1.551210934508163e-003	-3.355572e+000	-6.413259e-001	1.200702e+002
1.648867184508163e-003	-2.743522e+000	-5.274916e-001	1.164150e+002
1.746523434508163e-003	-2.234823e+000	-4.328794e-001	1.133770e+002
1.844179684508163e-003	-1.812023e+000	-3.542435e-001	1.108520e+002
1.941835934508163e-003	-1.460617e+000	-2.888860e-001	1.087534e+002
2.039492184508163e-003	-1.168550e+000	-2.345647e-001	1.070092e+002
2.137148434508163e-003	-9.258009e-001	-1.894161e-001	1.055594e+002
2.234804684508163e-003	-7.240425e-001	-1.518914e-001	1.043545e+002
2.332460934508163e-003	-5.563531e-001	-1.207030e-001	1.033531e+002
2.430117184508163e-003	-4.169797e-001	-9.478118e-002	1.025207e+002
2.527773434508164e-003	-3.011409e-001	-7.323647e-002	1.018289e+002
2.625429684508164e-003	-2.048626e-001	-5.532981e-002	1.012539e+002
2.723085934508164e-003	-1.248419e-001	-4.044686e-002	1.007760e+002
2.820742184508164e-003	-5.833353e-002	-2.807705e-002	1.003788e+002
2.918398434508164e-003	-3.055732e-003	-1.779601e-002	1.000487e+002
3.016054684508164e-003	4.288785e-002	-9.251026e-003	9.977434e+001
3.113710934508164e-003	8.107340e-002	-2.148947e-003	9.954630e+001
3.211367184508164e-003	1.128109e-001	3.753875e-003	9.935676e+001
3.309023434508164e-003	1.391893e-001	8.659946e-003	9.919922e+001
